google, 3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2,3,3,3
yahooo, 3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2,3,3,3
yandex, 3,3,3,3,1,3,1,3,2,3,3,2,2,1,0,1,2,1,1,1
bing,   3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,1,0,3,3,3
